

** [etri] Launch Training on 20230610_1522
{
  "HOST": "etri",
  "SAVE": true,
  "github_log": true,
  "architecture": "DLV3+",
  "baseModel": "ResNet50",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 172,
  "resumeWeight": "./model_weights/ResNet50/20230605_1912_DLV3PP_ResNet50_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 5,
  "Flag": true,
  "p": 0.4,
  "acc_thresh": 0.5,
  "batch_size": 30,
  "lr_scheduling": true,
  "lr": 0.005408663768321276,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/train_base_db_20230523.txt",
  "eval_annotation": "./Annotations/eval_base_db_20230523.txt",
  "exp_comment": "* Augmentation Reinforced\n  - Image Blur Feature Added \n  - Sub Comments Line2\n",
  "isCompleted": false,
  "config": "./Config/TRAIN_DLV3.yaml"
}
@20230610_2042 [EP 38/500] took: 0h:8m:23s, ETA: 2d:16h:33m:6s [TRAIN] loss: 0.0450, accu-50: 95.43%, iou: 91.40%, f1: 95.50% 810.82ms [EVAL] [138/138 step] loss: 0.3332, accu-50: 79.97%, iou: 50.37%, f1: 66.68%, 226.20ms
@20230610_2050 [EP 39/500] took: 0h:8m:23s, ETA: 2d:16h:24m:43s [TRAIN] loss: 0.0448, accu-50: 95.45%, iou: 91.45%, f1: 95.52% 811.08ms [EVAL] [138/138 step] loss: 0.2141, accu-50: 83.31%, iou: 64.98%, f1: 78.59%, 226.19ms
@20230610_2058 [EP 40/500] took: 0h:8m:22s, ETA: 2d:16h:8m:40s [TRAIN] loss: 0.0449, accu-50: 95.37%, iou: 91.42%, f1: 95.51% 810.82ms [EVAL] [138/138 step] loss: 0.1070, accu-50: 94.79%, iou: 80.75%, f1: 89.30%, 226.53ms
@20230610_2106 [EP 41/500] took: 0h:8m:22s, ETA: 2d:16h:0m:18s [TRAIN] loss: 0.0435, accu-50: 95.60%, iou: 91.67%, f1: 95.65% 810.83ms [EVAL] [138/138 step] loss: 0.3364, accu-50: 91.62%, iou: 50.19%, f1: 66.36%, 226.53ms
@20230610_2114 [EP 42/500] took: 0h:8m:22s, ETA: 2d:15h:51m:56s [TRAIN] loss: 0.0436, accu-50: 95.57%, iou: 91.66%, f1: 95.64% 810.52ms [EVAL] [138/138 step] loss: 0.0795, accu-50: 92.32%, iou: 85.31%, f1: 92.05%, 226.37ms
@20230610_2123 [EP 43/500] took: 0h:8m:21s, ETA: 2d:15h:35m:57s [TRAIN] loss: 0.0432, accu-50: 95.65%, iou: 91.72%, f1: 95.68% 810.95ms [EVAL] [138/138 step] loss: 0.1403, accu-50: 88.89%, iou: 75.53%, f1: 85.97%, 226.20ms
@20230610_2131 [EP 44/500] took: 0h:8m:21s, ETA: 2d:15h:27m:36s [TRAIN] loss: 0.0428, accu-50: 95.66%, iou: 91.80%, f1: 95.72% 810.88ms [EVAL] [138/138 step] loss: 0.0643, accu-50: 90.76%, iou: 87.93%, f1: 93.57%, 226.36ms
@20230610_2139 [EP 45/500] took: 0h:8m:21s, ETA: 2d:15h:19m:15s [TRAIN] loss: 0.0420, accu-50: 95.65%, iou: 91.96%, f1: 95.80% 810.84ms [EVAL] [138/138 step] loss: 0.1381, accu-50: 87.97%, iou: 75.87%, f1: 86.19%, 226.44ms
@20230610_2147 [EP 46/500] took: 0h:8m:20s, ETA: 2d:15h:3m:20s [TRAIN] loss: 0.0420, accu-50: 95.78%, iou: 91.94%, f1: 95.80% 810.72ms [EVAL] [138/138 step] loss: 0.2125, accu-50: 78.92%, iou: 65.12%, f1: 78.75%, 226.19ms
@20230610_2155 [EP 47/500] took: 0h:8m:20s, ETA: 2d:14h:55m:0s [TRAIN] loss: 0.0418, accu-50: 95.76%, iou: 91.99%, f1: 95.82% 810.57ms [EVAL] [138/138 step] loss: 0.1851, accu-50: 84.41%, iou: 68.97%, f1: 81.49%, 226.03ms
@20230610_2203 [EP 48/500] took: 0h:8m:20s, ETA: 2d:14h:46m:40s [TRAIN] loss: 0.0422, accu-50: 95.74%, iou: 91.92%, f1: 95.78% 810.48ms [EVAL] [138/138 step] loss: 0.0816, accu-50: 92.99%, iou: 84.94%, f1: 91.84%, 226.34ms
@20230610_2211 [EP 49/500] took: 0h:8m:20s, ETA: 2d:14h:38m:20s [TRAIN] loss: 0.0424, accu-50: 95.54%, iou: 91.88%, f1: 95.76% 810.51ms [EVAL] [138/138 step] loss: 0.0861, accu-50: 95.72%, iou: 84.17%, f1: 91.39%, 226.39ms
@20230610_2220 [EP 50/500] took: 0h:8m:19s, ETA: 2d:14h:22m:30s [TRAIN] loss: 0.0419, accu-50: 95.75%, iou: 91.98%, f1: 95.81% 810.45ms [EVAL] [138/138 step] loss: 0.5457, accu-50: 98.23%, iou: 29.83%, f1: 45.43%, 226.31ms
@20230610_2228 [EP 51/500] took: 0h:8m:19s, ETA: 2d:14h:14m:11s [TRAIN] loss: 0.0407, accu-50: 95.94%, iou: 92.19%, f1: 95.93% 810.82ms [EVAL] [138/138 step] loss: 0.1088, accu-50: 96.75%, iou: 80.44%, f1: 89.12%, 226.16ms
@20230610_2236 [EP 52/500] took: 0h:8m:19s, ETA: 2d:14h:5m:52s [TRAIN] loss: 0.0407, accu-50: 95.97%, iou: 92.20%, f1: 95.93% 810.98ms [EVAL] [138/138 step] loss: 0.0644, accu-50: 94.07%, iou: 87.91%, f1: 93.56%, 226.44ms
@20230610_2244 [EP 53/500] took: 0h:8m:19s, ETA: 2d:13h:57m:33s [TRAIN] loss: 0.0411, accu-50: 95.90%, iou: 92.12%, f1: 95.89% 810.65ms [EVAL] [138/138 step] loss: 0.0622, accu-50: 94.35%, iou: 88.30%, f1: 93.78%, 226.76ms
@20230610_2252 [EP 54/500] took: 0h:8m:19s, ETA: 2d:13h:49m:14s [TRAIN] loss: 0.0402, accu-50: 95.96%, iou: 92.29%, f1: 95.98% 810.76ms [EVAL] [138/138 step] loss: 0.1171, accu-50: 88.58%, iou: 79.15%, f1: 88.29%, 226.60ms
@20230610_2300 [EP 55/500] took: 0h:8m:18s, ETA: 2d:13h:33m:30s [TRAIN] loss: 0.0400, accu-50: 96.01%, iou: 92.32%, f1: 96.00% 810.80ms [EVAL] [138/138 step] loss: 0.0611, accu-50: 91.58%, iou: 88.50%, f1: 93.89%, 226.74ms
@20230610_2309 [EP 56/500] took: 0h:8m:18s, ETA: 2d:13h:25m:12s [TRAIN] loss: 0.0402, accu-50: 95.87%, iou: 92.28%, f1: 95.98% 810.70ms [EVAL] [138/138 step] loss: 0.1494, accu-50: 95.65%, iou: 74.14%, f1: 85.06%, 226.60ms
@20230610_2317 [EP 57/500] took: 0h:8m:18s, ETA: 2d:13h:16m:54s [TRAIN] loss: 0.0393, accu-50: 96.03%, iou: 92.44%, f1: 96.07% 810.52ms [EVAL] [138/138 step] loss: 0.0928, accu-50: 90.33%, iou: 83.11%, f1: 90.72%, 226.38ms
@20230610_2325 [EP 58/500] took: 0h:8m:18s, ETA: 2d:13h:8m:36s [TRAIN] loss: 0.0392, accu-50: 96.03%, iou: 92.47%, f1: 96.08% 810.94ms [EVAL] [138/138 step] loss: 0.0660, accu-50: 95.25%, iou: 87.65%, f1: 93.40%, 226.73ms
@20230610_2333 [EP 59/500] took: 0h:8m:18s, ETA: 2d:13h:0m:18s [TRAIN] loss: 0.0388, accu-50: 96.14%, iou: 92.55%, f1: 96.12% 810.83ms [EVAL] [138/138 step] loss: 0.0847, accu-50: 95.07%, iou: 84.42%, f1: 91.53%, 226.34ms
@20230610_2341 [EP 60/500] took: 0h:8m:18s, ETA: 2d:12h:52m:0s [TRAIN] loss: 0.0386, accu-50: 96.05%, iou: 92.58%, f1: 96.14% 810.57ms [EVAL] [138/138 step] loss: 0.5863, accu-50: 92.36%, iou: 26.87%, f1: 41.37%, 226.67ms
@20230610_2349 [EP 61/500] took: 0h:8m:17s, ETA: 2d:12h:36m:23s [TRAIN] loss: 0.0386, accu-50: 96.07%, iou: 92.58%, f1: 96.14% 810.84ms [EVAL] [138/138 step] loss: 0.0668, accu-50: 92.89%, iou: 87.49%, f1: 93.32%, 226.55ms
@20230610_2358 [EP 62/500] took: 0h:8m:17s, ETA: 2d:12h:28m:6s [TRAIN] loss: 0.0383, accu-50: 96.08%, iou: 92.63%, f1: 96.17% 810.52ms [EVAL] [138/138 step] loss: 0.1641, accu-50: 83.14%, iou: 71.96%, f1: 83.59%, 226.40ms
@20230611_0006 [EP 63/500] took: 0h:8m:17s, ETA: 2d:12h:19m:49s [TRAIN] loss: 0.0384, accu-50: 96.03%, iou: 92.62%, f1: 96.16% 810.68ms [EVAL] [138/138 step] loss: 0.0635, accu-50: 94.55%, iou: 88.08%, f1: 93.65%, 226.78ms
@20230611_0014 [EP 64/500] took: 0h:8m:17s, ETA: 2d:12h:11m:32s [TRAIN] loss: 0.0381, accu-50: 96.16%, iou: 92.67%, f1: 96.19% 810.93ms [EVAL] [138/138 step] loss: 0.6313, accu-50: 87.79%, iou: 23.27%, f1: 36.87%, 226.42ms
