@20230811_2153 @20230811_2153 [EP 83/300] lr: 0.0003332000633236021, took: 61.58s (avg: 61.58s), ETA: 0d:3h:40m:37s [TRAIN] loss: 259.5506, iou: 0.8856, f1: 0.9391 [EVAL] loss: 1016.4028, iou: 0.7543, f1: 0.8586
@20230811_2154 @20230811_2154 [EP 84/300] lr: 0.0003308738232590258, took: 61.62s (avg: 61.62s), ETA: 0d:3h:39m:36s [TRAIN] loss: 257.9949, iou: 0.8875, f1: 0.9402 [EVAL] loss: 1187.0851, iou: 0.7242, f1: 0.8374
@20230811_2155 @20230811_2155 [EP 85/300] lr: 0.00032857985934242606, took: 61.65s (avg: 61.65s), ETA: 0d:3h:38m:35s [TRAIN] loss: 248.5954, iou: 0.8904, f1: 0.9419 [EVAL] loss: 1026.3777, iou: 0.7266, f1: 0.8404
@20230811_2156 @20230811_2156 [EP 86/300] lr: 0.0003263175021857023, took: 61.62s (avg: 61.62s), ETA: 0d:3h:37m:34s [TRAIN] loss: 235.3706, iou: 0.8967, f1: 0.9454 [EVAL] loss: 1083.2019, iou: 0.7142, f1: 0.8322
@20230811_2158 @20230811_2158 [EP 87/300] lr: 0.00032408605329692364, took: 61.58s (avg: 61.58s), ETA: 0d:3h:36m:33s [TRAIN] loss: 226.8348, iou: 0.9006, f1: 0.9475 [EVAL] loss: 768.1661, iou: 0.7918, f1: 0.8831
@20230811_2159 @20230811_2159 [EP 88/300] lr: 0.00032188493059948087, took: 61.55s (avg: 61.55s), ETA: 0d:3h:35m:32s [TRAIN] loss: 225.1444, iou: 0.9021, f1: 0.9484 [EVAL] loss: 903.8663, iou: 0.7660, f1: 0.8666
@20230811_2200 @20230811_2200 [EP 89/300] lr: 0.00031971349380910397, took: 61.60s (avg: 61.60s), ETA: 0d:3h:34m:31s [TRAIN] loss: 229.2119, iou: 0.9011, f1: 0.9478 [EVAL] loss: 692.8585, iou: 0.8129, f1: 0.8962
@20230811_2201 @20230811_2201 [EP 90/300] lr: 0.00031757118995301425, took: 61.52s (avg: 61.52s), ETA: 0d:3h:33m:30s [TRAIN] loss: 232.2664, iou: 0.9001, f1: 0.9473 [EVAL] loss: 787.1008, iou: 0.7826, f1: 0.8774
@20230811_2202 @20230811_2202 [EP 91/300] lr: 0.0003154573787469417, took: 61.57s (avg: 61.57s), ETA: 0d:3h:32m:29s [TRAIN] loss: 235.6497, iou: 0.8985, f1: 0.9464 [EVAL] loss: 693.0148, iou: 0.8152, f1: 0.8977
@20230811_2203 @20230811_2203 [EP 92/300] lr: 0.00031337153632193804, took: 61.58s (avg: 61.58s), ETA: 0d:3h:31m:28s [TRAIN] loss: 237.7709, iou: 0.8980, f1: 0.9461 [EVAL] loss: 1065.6489, iou: 0.7456, f1: 0.8526
@20230811_2204 @20230811_2204 [EP 93/300] lr: 0.00031131310970522463, took: 61.60s (avg: 61.60s), ETA: 0d:3h:30m:27s [TRAIN] loss: 236.2925, iou: 0.8988, f1: 0.9466 [EVAL] loss: 1012.1022, iou: 0.7463, f1: 0.8536
@20230811_2205 @20230811_2205 [EP 94/300] lr: 0.00030928151682019234, took: 61.51s (avg: 61.51s), ETA: 0d:3h:29m:26s [TRAIN] loss: 233.1352, iou: 0.9001, f1: 0.9473 [EVAL] loss: 726.3671, iou: 0.7928, f1: 0.8838
